Gibraltar,GIB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Guinea,GIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.245286381
"Gambia, The",GMB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.24537154
Guinea-Bissau,GNB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.157624804
Equatorial Guinea,GNQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.08859311
Greece,GRC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.874949613
Grenada,GRD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.73000273
Greenland,GRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Guatemala,GTM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.802962926
Guam,GUM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Guyana,GUY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.34845149
High income,HIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,11.28396356
"Hong Kong SAR, China",HKG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Honduras,HND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.98707936
Heavily indebted poor countries (HIPC),HPC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.234773261
Croatia,HRV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.530399422
Haiti,HTI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.247253128
Hungary,HUN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.787988988
IBRD only,IBD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.952131016
IDA & IBRD total,IBT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.141454082
IDA total,IDA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.508359131
IDA blend,IDB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.87361116
Indonesia,IDN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.724073581
IDA only,IDX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.322658369
Isle of Man,IMN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
India,IND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.349214466
Not classified,INX,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,
Ireland,IRL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,8.909784865
"Iran, Islamic Rep.",IRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.468427156
Iraq,IRQ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.042434704
